empresa_id,empresa,n_amostras,MAE,RMSE
10,NOVACHAMA TRATAMENTO TERMICO LTDA,50,568.1491088867188,795.863037109375
6,JOSE MARIA CORREIA DA SILVA,117,905.5361938476562,1108.2236328125
9,MYRALIS INDUSTRIA FARMACEUTICA LTDA,87,1299.405029296875,1465.1156005859375
3,DIEGO PACHECO PIRES 03546559142,99,1983.675048828125,2199.423095703125
13,UNIGRA BRASIL INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,75,2188.972900390625,2918.062255859375
12,PURATOS BRASIL LTDA,93,3407.546142578125,4012.7431640625
0,ATACADAO DIA A DIA S.A,119,3434.714599609375,4856.30615234375
8,MALHARIA INDAIAL LTDA,87,4843.552734375,6696.05224609375
2,DART DO BRASIL INDUSTRIA E COMERCIO LIMITADA,48,9729.3583984375,13309.1103515625
5,IRMAOS MUFFATO & CIA LTDA,119,43842.99609375,52247.12109375
14,"WESTROCK, CELULOSE, PAPEL E EMBALAGENS LTDA",87,112354.1015625,134027.203125
