csv,freq,RMSE_ARIMA,MAE_ARIMA,MAPE_ARIMA,ACCURACY_ARIMA (%),RMSE_LSTM,MAE_LSTM,MAPE_LSTM,ACCURACY_LSTM (%),RMSE_GRU,MAE_GRU,MAPE_GRU,ACCURACY_GRU (%),test_samples_common
2RC IND EMBALAGENS.csv,D,1.4531183080409182,1.0807194715889918,2.8082939080487215,-180.82939080487216,1.4870299127627462,1.1341453013866147,6.852906859890397,-585.2906859890397,1.528609717589692,1.1475729244323174,10.169894925895063,-916.9894925895063,48
AACD - IBIRAPUERA.csv,D,2.5968722842875183,2.442358478035669,0.18127387405991457,81.87261259400854,1.064409046399861,0.8312737758563883,0.0639038663391855,93.60961336608145,1.1172284626983415,0.879371776036531,0.06564215684359336,93.43578431564067,103
AAK DO BRASIL CL 514.csv,D,5.084793796892174,3.590412811936765,0.15522564367859162,84.47743563214084,5.066741088128329,3.2994282597102202,0.14981866842674774,85.01813315732522,5.117380066833318,3.4246036252657706,0.14188618594509678,85.81138140549032,206
